measurer,type,time,number
15,T,15:59:40.48,
15,S,15:59:44.60,
15,S,16:02:27.99,1
15,S,16:02:28.66,
15,S,16:03:00.83,2
15,S,16:03:01.36,
15,S,16:03:34.11,16
15,S,16:03:34.94,
15,S,16:04:08.01,6
15,S,16:04:08.52,
15,S,16:04:38.43,9
15,S,16:04:38.93,
15,S,16:05:08.31,8
15,S,16:05:08.99,
15,S,16:05:36.26,19
15,S,16:05:36.84,
15,S,16:06:15.37,17
15,S,16:06:15.80,
15,S,16:06:43.54,22
15,S,16:06:43.98,
15,S,16:07:15.60,11
15,S,16:07:15.09,
15,S,16:07:44.85,7
15,S,16:07:45.31,
15,S,16:08:26.17,18
15,S,16:08:26.53,
15,S,16:09:07.18,5
15,S,16:09:07.64,
15,S,16:09:32.01,26
15,S,16:09:32.38,
15,S,16:10:07.82,21
15,S,16:10:08.28,
15,S,16:10:33.74,12
15,S,16:10:34.37,
15,S,16:10:57.64,24
15,S,16:10:58.12,
15,S,16:11:30.14,15
15,S,16:11:30.59,
15,S,16:12:04.56,25
15,S,16:12:05.09,
15,S,16:12:35.46,14
15,S,16:12:35.84,
15,S,16:13:05.57,35
15,S,16:13:06.07,
15,S,16:13:34.64,29
15,S,16:13:35.21,
15,S,16:14:07.91,36
15,S,16:14:08.59,
15,S,16:14:37.08,27
15,S,16:14:37.87,
15,S,16:15:12.67,54
15,S,16:15:13.48,
15,S,16:15:47.85,39
15,S,16:15:48.78,
15,S,16:16:20.02,28
15,S,16:16:20.74,
15,S,16:16:51.22,37
15,S,16:16:51.73,
15,S,16:17:19.02,32
15,S,16:17:19.47,
15,S,16:17:53.12,43
15,S,16:17:54.06,
15,S,16:18:25.95,58
15,S,16:18:26.40,
15,S,16:18:58.78,46
15,S,16:18:59.27,
15,S,16:19:34.69,33
15,S,16:19:35.42,
15,S,16:20:10.30,44
15,S,16:20:10.89,
15,S,16:20:55.13,53
15,S,16:20:55.98,
15,S,16:21:27.49,52
15,S,16:21:27.91,
15,S,16:21:58.91,41
15,S,16:21:59.50,
15,S,16:22:32.01,61
15,S,16:22:32.55,
15,S,16:23:01.73,47
15,S,16:23:02.21,
15,S,16:23:50.17,38
15,S,16:23:50.95,
15,S,16:24:25.61,51
15,S,16:24:26.04,
15,S,16:25:03.41,45
15,S,16:25:04.27,
15,S,16:25:29.91,56
15,S,16:25:30.47,
15,S,16:26:04.31,59
15,S,16:26:04.94,
15,S,16:26:35.87,57
15,S,16:26:36.74,
