measurer,type,time,number
1,S,8:00:00.00,1
1,S,8:00:20.00,2
1,S,8:00:40.00,3
1,S,8:01:00.00,5
1,S,8:01:20.00,6
1,S,8:01:40.00,7
1,S,8:02:00.00,8
1,S,8:02:20.00,9
1,S,8:02:40.00,10
1,S,8:03:00.00,11
1,S,8:03:20.00,12
1,S,8:03:40.00,13
1,S,8:04:00.00,14
1,S,8:04:20.00,15
1,S,8:04:40.00,16
1,S,8:05:00.00,17
1,S,8:05:20.00,18
1,S,8:05:40.00,19
1,S,8:06:00.00,20
1,S,8:06:20.00,21
1,S,8:06:40.00,22
1,S,8:07:00.00,23
1,S,8:07:20.00,24
1,S,8:07:40.00,25
1,S,8:08:00.00,26
1,S,8:08:20.00,27
1,S,8:08:40.00,28
1,S,8:09:00.00,29
1,S,8:09:20.00,30
1,S,8:09:40.00,31
1,S,8:10:00.00,32
1,S,8:10:20.00,33
1,S,8:10:40.00,34
1,S,8:11:00.00,35
1,S,8:11:20.00,36
1,S,8:11:40.00,37
1,S,8:12:00.00,38
1,S,8:12:20.00,39
1,S,8:12:40.00,40
1,S,8:13:00.00,41
1,S,8:13:20.00,43
1,S,8:13:40.00,44
1,S,8:14:00.00,45
1,S,8:14:20.00,46
1,S,8:14:40.00,47
1,S,8:15:00.00,48
1,S,8:15:20.00,49
1,S,8:15:40.00,50
1,S,8:16:00.00,51
1,S,8:16:20.00,52
1,S,8:16:40.00,53
1,S,8:17:00.00,54
1,S,8:17:20.00,55
1,S,8:17:40.00,56
1,S,8:18:00.00,57
1,S,8:18:20.00,58
1,S,8:18:40.00,59
1,S,8:19:00.00,60
1,S,8:19:20.00,61
1,S,8:19:40.00,62
